date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:51	2315/2315	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:51%20GMT	http://www.tivodart.narod.ru/shimnik.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/shimnik.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:52	17466/17466	---M--	200	added ('OK')	image/jpeg	etag:%225821f921-443a%22	http://www.tivodart.narod.ru/shimnik1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/shimnik1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:39:52	2485/2485	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:52%20GMT	http://www.tivodart.narod.ru/stella.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/stella.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:53	2623/2623	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:53%20GMT	http://www.tivodart.narod.ru/avtoprtret.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/avtoprtret.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:53	24701/24701	---M--	200	added ('OK')	image/jpeg	etag:%225821f93a-607d%22	http://www.tivodart.narod.ru/stella1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/stella1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:39:54	2325/2325	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:53%20GMT	http://www.tivodart.narod.ru/poedribu.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/poedribu.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:54	16311/16311	---M--	200	added ('OK')	image/jpeg	etag:%225821f8a6-3fb7%22	http://www.tivodart.narod.ru/avtoprtret1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/avtoprtret1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:39:54	2665/2665	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:54%20GMT	http://www.tivodart.narod.ru/yabspas.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/yabspas.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:55	2454/2454	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:39:55%20GMT	http://www.tivodart.narod.ru/imperium.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/imperium.html	(from http://www.tivodart.narod.ru/gallery.html)
15:39:55	29509/29509	---M--	200	added ('OK')	image/jpeg	etag:%22531dc454-7345%22	http://www.tivodart.narod.ru/poedribu1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/poedribu1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
